,Rank,Gender,Forename,Incidence,Frequency,freq,gender,m,f
318,319,100%,Jamiu,"102,060","1:1,740",0.0005747126436781609,1.0,1.0,0.0
319,320,100%,Thomas,"101,641","1:1,747",0.0005724098454493417,1.0,1.0,0.0
320,321,100%,Modupe,"100,528","1:1,766",0.0005662514156285391,1.0,1.0,0.0
321,322,100%,Fati,"100,397","1:1,769",0.0005652911249293386,1.0,1.0,0.0
322,323,100%,Adekunle,"100,141","1:1,773",0.0005640157924421884,1.0,1.0,0.0
323,324,100%,Amaka,"100,095","1:1,774",0.0005636978579481398,1.0,1.0,0.0
324,325,100%,Nnamdi,"99,716","1:1,781",0.0005614823133071309,1.0,1.0,0.0
325,326,100%,Doris,"99,596","1:1,783",0.0005608524957936063,1.0,1.0,0.0
326,327,100%,Hannah,"99,535","1:1,784",0.0005605381165919282,1.0,1.0,0.0
327,328,100%,Sabo,"98,589","1:1,801",0.000555247084952804,1.0,1.0,0.0
328,329, 66%,Olayinka,"98,568","1:1,801",0.000555247084952804,0.66,0.66,0.33999999999999997
329,330,100%,Sunusi,"98,440","1:1,804",0.0005543237250554324,1.0,1.0,0.0
330,331,95% ,Lawali,"98,125","1:1,810",0.0005524861878453039,0.95,0.95,0.050000000000000044
331,332,99% ,Chijioke,"97,896","1:1,814",0.0005512679162072767,0.99,0.99,0.010000000000000009
332,333,67% ,Chinonso,"97,826","1:1,815",0.0005509641873278236,0.67,0.67,0.32999999999999996
333,334,100%,Bolanle,"97,825","1:1,815",0.0005509641873278236,1.0,1.0,0.0
334,335,81% ,Onyeka,"97,185","1:1,827",0.0005473453749315818,0.81,0.81,0.18999999999999995
335,336,100%,Tajudeen,"97,002","1:1,831",0.0005461496450027307,1.0,1.0,0.0
336,337,100%,Edith,"97,000","1:1,831",0.0005461496450027307,1.0,1.0,0.0
337,338,100%,Isiaka,"96,992","1:1,831",0.0005461496450027307,1.0,1.0,0.0
338,339,100%,Asmau,"96,822","1:1,834",0.0005452562704471102,1.0,1.0,0.0
339,340,100%,Abbas,"96,481","1:1,840",0.0005434782608695652,1.0,1.0,0.0
340,341,100%,Yusif,"96,103","1:1,848",0.0005411255411255411,1.0,1.0,0.0
341,342, 93%,Eno,"95,935","1:1,851",0.0005402485143165856,0.93,0.93,0.06999999999999995
342,343,100%,Festus,"95,692","1:1,856",0.0005387931034482759,1.0,1.0,0.0
343,344,100%,Lukman,"95,592","1:1,858",0.0005382131324004305,1.0,1.0,0.0
344,345,100%,Gladys,"95,350","1:1,862",0.0005370569280343716,1.0,1.0,0.0
345,346,100%,Nneka,"95,157","1:1,866",0.0005359056806002144,1.0,1.0,0.0
346,347, 66%,Abiola,"94,897","1:1,871",0.0005344735435595938,0.66,0.66,0.33999999999999997
347,348,100%,Yemisi,"94,706","1:1,875",0.0005333333333333334,1.0,1.0,0.0
348,349,97% ,Abdu,"94,700","1:1,875",0.0005333333333333334,0.97,0.97,0.030000000000000027
